"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @cosmicjs: Introducing the Next.js Static Blog powered by Cosmic 🤩
✅ Automatic image optimizations by @imgix 
✅ Content preview
✅ Perfec…",FALSE,0,NA,2020-05-28 16:31:41,FALSE,NA,"1266044482002223106",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","koji_kanao",3,TRUE,FALSE,NA,NA
"RT @fullstackhq: 🚀 Host Static Website for Free + Custom Domain with @Netlify @getrender @vercel (formerly @zeithq)

View FULL Post 👉 https…",FALSE,0,NA,2020-05-28 16:27:53,FALSE,NA,"1266043525243625474",NA,"<a href=""http://ndroid.online"" rel=""nofollow"">ndroid_techk</a>","ndroid_techk",10,TRUE,FALSE,NA,NA
"RT @CrystallizeAPI: For those that missed the livestream on launching a JAMStack eCommerce with @CrystallizeAPI &amp; #Nextjs on @vercel yester…",FALSE,0,NA,2020-05-28 16:26:19,FALSE,NA,"1266043134145953793",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","newnormalgroup",3,TRUE,FALSE,NA,NA
"RT @cosmicjs: Introducing the Next.js Static Blog powered by Cosmic 🤩
✅ Automatic image optimizations by @imgix 
✅ Content preview
✅ Perfec…",FALSE,0,NA,2020-05-28 16:25:32,FALSE,NA,"1266042934064893953",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rauchg",3,TRUE,FALSE,NA,NA
"@chanux @vercel 😒 https://t.co/lwZr0IguJY",FALSE,0,"chanux",2020-05-28 16:24:05,FALSE,"1266024867045888000","1266042572138590209","1650821","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thejester100",0,FALSE,FALSE,NA,NA
"@ktkaushik @revue @sendxio @vercel @1Password @ThePracticalDev @BeCureFit I missed @1Password in my list :)",FALSE,0,"ktkaushik",2020-05-28 16:22:03,FALSE,"1266036017884098561","1266042059695112198","39042776","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ravivyas84",0,FALSE,FALSE,NA,NA
"RT @geshan: How to run your side project for exactly $0 a month -

* Register domain - https://t.co/7P7twFbwa7 - get a .ml domain and brand…",FALSE,0,NA,2020-05-28 16:16:14,FALSE,NA,"1266040595123826688",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","yogesh_io",29,TRUE,FALSE,NA,NA
"I just got 100 points✨ on https://t.co/RTxmieM1Tp via @vercel",FALSE,0,NA,2020-05-28 16:08:53,FALSE,NA,"1266038745872035845",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","techygeeeky",0,FALSE,FALSE,NA,NA
"RT @ktkaushik: @ravivyas84 My list -

@revue - underrated
@sendxio - great support
@vercel - serverless everything 
@1Password - one passwo…",FALSE,0,NA,2020-05-28 16:07:03,FALSE,NA,"1266038286385991682",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thebitmonk",1,TRUE,FALSE,NA,NA
"あとvercelの人は静的サイトの元にするデータソースをnotionのプライベートAPI経由にするとい力技をよく考えついたなと。notionもそのうちパブリックなAPIを公開するらしいので、そちらに期待しつつ使う。",FALSE,0,"saitokun13",2020-05-28 16:04:56,FALSE,"1266036527043248128","1266037751515774978","3125232151","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","saitokun13",0,FALSE,FALSE,NA,NA
"@ravivyas84 My list -

@revue - underrated
@sendxio - great support
@vercel - serverless everything 
@1Password - o… https://t.co/Os6QtTE2AS",FALSE,3,"ravivyas84",2020-05-28 15:58:03,TRUE,"1265940847326949378","1266036017884098561","16257037","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ktkaushik",1,FALSE,FALSE,NA,NA
"RT @cosmicjs: Introducing the Next.js Static Blog powered by Cosmic 🤩
✅ Automatic image optimizations by @imgix 
✅ Content preview
✅ Perfec…",FALSE,0,NA,2020-05-28 15:54:38,FALSE,NA,"1266035158311895040",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","tonyspiro",3,TRUE,FALSE,NA,NA
"Introducing the Next.js Static Blog powered by Cosmic 🤩
✅ Automatic image optimizations by @imgix 
✅ Content previe… https://t.co/AC1fJGZILx",FALSE,11,NA,2020-05-28 15:54:03,TRUE,NA,"1266035012954136576",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","cosmicjs",3,FALSE,FALSE,NA,NA
"@chibicode @vercel A reply back from Uesugi-san, the tutorial example I am honored!!!
My date.js seems okay but I w… https://t.co/IG61MWTmFb",FALSE,0,"chibicode",2020-05-28 15:51:53,TRUE,"1265880188463673345","1266034466012704774","15573498","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kikumatte",0,FALSE,FALSE,NA,NA
"RT @hashtagcoder: The simplest solutions are often the best. Here’s how to create and deploy a microservice with #NodeJS in less than 10 mi…",FALSE,0,NA,2020-05-28 15:49:35,FALSE,NA,"1266033887827783680",NA,"<a href=""http://ndroid.online"" rel=""nofollow"">ndroid_techk</a>","ndroid_techk",9,TRUE,FALSE,NA,NA
"RT @hashtagcoder: The simplest solutions are often the best. Here’s how to create and deploy a microservice with #NodeJS in less than 10 mi…",FALSE,0,NA,2020-05-28 15:48:40,FALSE,NA,"1266033657724067840",NA,"<a href=""https://100daysofcode.com"" rel=""nofollow"">30days30sites</a>","CoderNotesBot",9,TRUE,FALSE,NA,NA
"@chanux @vercel https://t.co/J60psmpzUY",FALSE,0,"chanux",2020-05-28 15:45:24,FALSE,"1266032113683271680","1266032837943320576","1650821","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JustRuky",0,FALSE,FALSE,NA,NA
"RT @hashtagcoder: The simplest solutions are often the best. Here’s how to create and deploy a microservice with #NodeJS in less than 10 mi…",FALSE,0,NA,2020-05-28 15:42:40,FALSE,NA,"1266032150085799936",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SiminMaleki",9,TRUE,FALSE,NA,NA
"@JustRuky @vercel https://t.co/89i56zo4FI",FALSE,0,"JustRuky",2020-05-28 15:42:32,FALSE,"1266030347520823298","1266032113683271680","125273716","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","chanux",0,FALSE,FALSE,NA,NA
"RT @hashtagcoder: The simplest solutions are often the best. Here’s how to create and deploy a microservice with #NodeJS in less than 10 mi…",FALSE,0,NA,2020-05-28 15:36:16,FALSE,NA,"1266030536344186881",NA,"<a href=""https://twitter.com/codedailybot"" rel=""nofollow"">codedailybot</a>","codedailybot",9,TRUE,FALSE,NA,NA
"@chanux @vercel Not working on my mobile 😒",FALSE,0,"chanux",2020-05-28 15:35:31,FALSE,"1266024867045888000","1266030347520823298","1650821","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JustRuky",0,FALSE,FALSE,NA,NA
"RT @hashtagcoder: The simplest solutions are often the best. Here’s how to create and deploy a microservice with #NodeJS in less than 10 mi…",FALSE,0,NA,2020-05-28 15:35:29,FALSE,NA,"1266030341984333826",NA,"<a href=""http://aaroncuddeback.com"" rel=""nofollow"">aaroncuddeback.com</a>","AaronCuddeback",9,TRUE,FALSE,NA,NA
"RT @hashtagcoder: The simplest solutions are often the best. Here’s how to create and deploy a microservice with #NodeJS in less than 10 mi…",FALSE,0,NA,2020-05-28 15:26:20,FALSE,NA,"1266028038707458048",NA,"<a href=""https://google.com"" rel=""nofollow"">js-bot2</a>","theInfernobot",9,TRUE,FALSE,NA,NA
"RT @hashtagcoder: The simplest solutions are often the best. Here’s how to create and deploy a microservice with #NodeJS in less than 10 mi…",FALSE,0,NA,2020-05-28 15:26:17,FALSE,NA,"1266028027064000519",NA,"<a href=""https://yathinbabu.github.io"" rel=""nofollow"">xael bot</a>","xaelbot",9,TRUE,FALSE,NA,NA
"RT @hashtagcoder: The simplest solutions are often the best. Here’s how to create and deploy a microservice with #NodeJS in less than 10 mi…",FALSE,0,NA,2020-05-28 15:26:08,FALSE,NA,"1266027987348193280",NA,"<a href=""https://go-shopal.herokuapp.com"" rel=""nofollow"">RedianDevBot</a>","redianbot",9,TRUE,FALSE,NA,NA
"RT @hashtagcoder: The simplest solutions are often the best. Here’s how to create and deploy a microservice with #NodeJS in less than 10 mi…",FALSE,0,NA,2020-05-28 15:26:03,FALSE,NA,"1266027964589912065",NA,"<a href=""https://nlogn.in"" rel=""nofollow"">nlognrobot</a>","nlognbot",9,TRUE,FALSE,NA,NA
"The simplest solutions are often the best. Here’s how to create and deploy a microservice with #NodeJS in less than… https://t.co/dcgZz3b5Jb",FALSE,3,NA,2020-05-28 15:26:00,TRUE,NA,"1266027952581599234",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","hashtagcoder",9,FALSE,FALSE,NA,NA
"I just got 550 points✨ on https://t.co/98KPpZtjzs via @vercel",FALSE,0,NA,2020-05-28 15:23:48,FALSE,NA,"1266027401923919872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","thePeterAyeni",0,FALSE,FALSE,NA,NA
"RT @fullstackhq: 🚀 Host Static Website for Free + Custom Domain with @Netlify @getrender @vercel (formerly @zeithq)

View FULL Post 👉 https…",FALSE,0,NA,2020-05-28 15:20:03,FALSE,NA,"1266026456896860160",NA,"<a href=""http://javascriptdigest.com"" rel=""nofollow"">javascriptdigest2</a>","javascriptd",10,TRUE,FALSE,NA,NA
"RT @chanux: I have not touched this project in ages but used @vercel to give it a short, memorable URL https://t.co/YptYZpTKkV",FALSE,0,NA,2020-05-28 15:19:41,FALSE,NA,"1266026363741335553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thilinag",1,TRUE,FALSE,NA,NA
"@dabit3 Hi 👋 I'm Josh. I'm using modern web tech to make everyday things for everyday humans.

I'm one of those ""de… https://t.co/4WcfuCrQap",FALSE,1,"dabit3",2020-05-28 15:14:54,TRUE,"1266018672046374915","1266025161536540672","17189394","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","oh_hey_josh",0,FALSE,FALSE,NA,NA
"I have not touched this project in ages but used @vercel to give it a short, memorable URL https://t.co/YptYZpTKkV",FALSE,3,NA,2020-05-28 15:13:44,FALSE,NA,"1266024867045888000",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","chanux",1,FALSE,FALSE,NA,NA
"Easy Deployments (front-end projects: react, angular, ember, ionic etc..) With Zeit Now https://t.co/GcYDvlFYJL

https://t.co/ZdS2n4geNS",FALSE,0,NA,2020-05-28 15:09:24,FALSE,NA,"1266023777848131585",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","shloch",0,FALSE,FALSE,NA,NA
"Vercel : $21M
Gatsby : $28M

Who's next https://t.co/uFe3MKpu1K",FALSE,0,NA,2020-05-28 15:07:54,FALSE,NA,"1266023399278534656",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sozonome",0,FALSE,FALSE,NA,NA
"RT @gabu: Qiitaに日記を書いている駆け出しエンジニアは今すぐ折角覚えた好きなフレームワークで自作した日記システム（簡単な機能だけでよい）をFirebase HostingやNetlifyやVercelにデプロイしてそこに日記を書くんだ。採用する側の人間からすると「…",FALSE,0,NA,2020-05-28 15:04:03,FALSE,NA,"1266022430570512384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realeyez77",11,TRUE,FALSE,NA,NA
