"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@TilidinN @patrickderstern wird eh zeit das meine timeline noch etwas voller wird",FALSE,0,"TilidinN",2020-05-28 16:54:31,FALSE,"1266049840032681984","1266050229851299852","1255551344972304386","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GucciPepe",0,FALSE,FALSE,NA,NA
"@Shakur_Tupac @hridayy_ Bro wirklich -niemand- feiert die letzten beiden Staffeln 
Man merkt dass du zu der Zeit nicht auf Twitter warst 😬",FALSE,0,"Shakur_Tupac",2020-05-28 16:54:28,FALSE,"1266043774385491971","1266050217171996677","58767382","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_KSebastian",0,FALSE,FALSE,NA,NA
"@tofreudenberg Hatte ich auch vor langer Zeit bekommen und frage mich erneut, was für eine Motivation (wirklich) dahintersteckt...",FALSE,0,"tofreudenberg",2020-05-28 16:54:26,FALSE,"1266034398819999745","1266050207529291782","2217763396","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KaiOliverK",0,FALSE,FALSE,NA,NA
"RT @Die_Gruenen: „Die junge Generation hat in den letzten Jahren mehr als überdeutlich bewiesen, wie verantwortungsbereit sie ist, dass sie…",FALSE,0,NA,2020-05-28 16:54:25,FALSE,NA,"1266050204450672643",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","digitalinus",35,TRUE,FALSE,NA,NA
"nach langer zeit mal wieder ein #PizzaTweet 🍕 https://t.co/SofZRocrb0",FALSE,0,NA,2020-05-28 16:54:24,FALSE,NA,"1266050198838673408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DAS_OSSI",0,FALSE,FALSE,NA,NA
"@kurtmeier17 @Volksverpetzer @annasfunnyworld @c_drosten Und nebenbei, wenn man in dem Thema Zeit, Reflexion und Re… https://t.co/NhihBg1Jov",FALSE,0,"SchaferCorinna",2020-05-28 16:54:18,TRUE,"1266049192998440960","1266050175539216385","1110659869907042316","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SchaferCorinna",0,FALSE,FALSE,NA,NA
"Ich frage mich, ob überhaupt mal in Erwägung gezogen wurde, dass die 2 Monatige Kitafreie Zeit den Kindern bei ihre… https://t.co/8Xm45zJsX2",FALSE,0,NA,2020-05-28 16:54:17,TRUE,NA,"1266050172372561920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FrauPe",0,FALSE,FALSE,NA,NA
"@illuLiebD1eWelt Süß wie du meinen Onlinestatus verfolgst, aber ich verschwende meine Zeit nicht, wenn ich wichtige… https://t.co/4fP5pZxsa6",FALSE,0,"illuLiebD1eWelt",2020-05-28 16:54:13,TRUE,"1266029676805357568","1266050154752335872","1243972585018347520","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","welatooo2",0,FALSE,FALSE,NA,NA
"#Pärchenkackscheiß ist ja schon manchmal sehr schwer für mich...aber dieses ""Familie auf Zeit"" ist nochmal eine Num… https://t.co/4LKDP4dJQO",FALSE,0,NA,2020-05-28 16:53:59,TRUE,NA,"1266050097483337733",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IchBinPinky",0,FALSE,FALSE,NA,NA
"meinem wahren ich und sollte ich drauf hören? Oder kommt es aus meinem verletzten, missbrauchten inneren Kind? Es i… https://t.co/UzjCln3Qbe",FALSE,0,"bummelbrot",2020-05-28 16:53:47,TRUE,"1266049586478624774","1266050046954541061","1167061019505696769","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bummelbrot",0,FALSE,FALSE,NA,NA
